id,timestamp,vessel_id,latitude,longitude,velocity,heading,cog,vessel_name,destination,type
5557293,2025-03-26 15:11:55.721272,230044260,60.145942,24.983652,0.0,511.0,0.0,KALLE,HELSINKI,52
5557292,2025-03-26 15:11:55.630496,230046140,60.160793,21.691223,0.0,346.0,70.2,VIGGEN,UTO,90
5557291,2025-03-26 15:11:55.530653,257037270,59.388658,22.404978,11.8,511.0,92.5,EK-STREAM,FISKV,80
5557290,2025-03-26 15:11:55.485039,311995000,59.586637,22.11925,15.6,261.0,261.8,ELBE HIGHWAY,FIUKI,70
5557289,2025-03-26 15:11:55.408985,257409000,59.759727,23.028785,11.5,149.0,149.8,FINNSTRAUM,LT KLJ,80
5557288,2025-03-26 15:11:55.397196,276756000,59.498617,24.939398,2.6,511.0,32.4,AHTO-28,MUUGA,50
5557287,2025-03-26 15:11:55.311881,230993760,60.316662,20.996293,0.0,295.0,289.3,KUHA,LAPPO,52
5557286,2025-03-26 15:11:55.210437,209211000,59.141293,19.569107,10.6,214.0,212.1,FRI PORSGRUNN,PLSWI,70
5557285,2025-03-26 15:11:55.183677,276779000,59.532627,21.707788,16.4,283.0,285.4,BALTIC QUEEN,EEVAN><FIMHQ><SESTO,60
5557284,2025-03-26 15:11:55.155360,230629000,60.097952,20.66869,16.9,292.0,292.8,VIKING GRACE,FITKU-FILAN/FIMHQ-SE,60
5557283,2025-03-26 15:11:55.056826,230008800,61.59408,21.46378,0.0,174.0,259.5,PILOT L230,MANTYLUOTO PILOT CH9,50
5557282,2025-03-26 15:11:54.953316,314218000,59.343577,20.02796,9.2,41.0,38.3,WILSON  RUHR,FIEJO,70
5557281,2025-03-26 15:11:54.870038,314702000,59.49759,24.951883,0.9,322.0,163.5,WILSON BRUGGE,NOTAU,70
5557280,2025-03-26 15:11:54.855138,230081290,61.126477,21.444582,0.0,253.0,268.3,L152,RAUMA PILOT AREA,50
5557279,2025-03-26 15:11:54.810797,230937650,61.123238,21.452305,0.1,297.0,254.0,NOKO,RAUMA,33
5557278,2025-03-26 15:11:54.798543,276859000,60.092557,24.900198,21.2,1.0,3.0,MYSTAR,EEVAN<->FIHEL,60
5557277,2025-03-26 15:11:54.756792,230938590,60.444328,22.25376,0.0,231.0,155.5,UKKOPEKKA,AT WINTER HOME,60
5557276,2025-03-26 15:11:54.713187,230704000,60.225195,21.776893,15.2,254.0,255.0,FINNCANOPUS,FINLI<>FILAN<>SEKPS,60
5557275,2025-03-26 15:11:54.701953,273298320,59.451865,22.902617,10.7,71.0,71.5,SMP NOVODVINSK,RU VYS,70
5557274,2025-03-26 15:11:54.659558,244850900,59.458108,19.882168,11.3,209.0,210.5,MEDEMBORG,MA CAS,70
5557273,2025-03-26 15:11:54.571743,230695000,60.166112,22.136162,10.1,190.0,201.0,PRIMA KING,EEBEK,70
5557272,2025-03-26 15:11:54.478018,209415000,59.588223,20.14654,11.9,312.0,310.8,GIOCONDA,SESSR,80
5557271,2025-03-26 15:11:54.384784,265411000,59.650607,19.894172,14.6,141.0,140.3,SCA OBBOLA,KIEL,70
5557270,2025-03-26 15:11:54.336768,230035990,60.290263,20.788355,0.1,73.0,279.9,OSTERN,KUM-ENK,60
5557269,2025-03-26 15:11:54.250073,273317640,59.221967,22.111733,12.2,53.0,54.7,BALTIYSK,RU ULU<=>RU KGD,70
5557268,2025-03-26 15:11:54.204598,230992250,60.117112,20.295053,0.0,68.0,14.9,MT2303,FAIRWAY WORKS,70
5557267,2025-03-26 15:11:54.163933,244689000,59.616708,22.485722,12.0,266.0,265.2,DROGDENBANK,FITOR,70
5557266,2025-03-26 15:11:54.131019,276824000,59.4585,24.658567,0.0,211.0,301.0,TIIU,VANA-VENE,60
5557265,2025-03-26 15:11:54.102907,230155950,60.44244,22.152448,0.0,192.0,225.0,KOKKOMAA,,60
5557264,2025-03-26 15:11:54.048517,258789000,59.451003,22.745447,10.7,70.0,71.5,VIKING NEPTUN,PIKALLA FINLAND,90
5557263,2025-03-26 15:11:53.923345,230014910,59.810147,22.914417,102.3,94.0,360.0,MT1310,,90
5557262,2025-03-26 15:11:53.817117,230992580,59.945662,20.891875,0.0,62.0,36.3,GUDINGEN,LANGNAS<>KOKAR,60
5557261,2025-03-26 15:11:53.792107,244874000,61.133593,21.13022,15.9,300.0,299.4,EMOTION,FI RAU > DE WVN,70
5557260,2025-03-26 15:11:53.772496,230109470,59.80715,22.920565,9.3,275.0,274.8,PILOT L129,HANKO,50
5557259,2025-03-26 15:11:53.685716,305967000,59.71554,24.644758,10.0,245.0,246.1,KREETE,SZCECIN,70
5557258,2025-03-26 15:11:53.666598,230914000,60.118053,20.296228,0.0,359.0,174.1,VIGGEN,LANGNAS<>GALTBY,60
5557257,2025-03-26 15:11:53.618739,244901000,59.767808,24.211868,10.4,255.0,254.2,SYDBORG,FIHMN > GBHUL,70
5557256,2025-03-26 15:11:53.573796,210524000,60.564152,19.598057,8.9,76.0,75.6,RIKKE B,FINLI,70
5557255,2025-03-26 15:11:53.522478,230125910,60.104985,24.973973,0.0,172.0,80.4,PILOT L-139,HELSINKI PILOT CH 71,50
5557254,2025-03-26 15:11:53.482758,255815000,59.495775,22.544808,18.0,235.0,233.7,HAFNIA SEA,LUBECK,70
5557253,2025-03-26 15:11:53.468471,230639000,60.102957,20.430665,18.7,290.0,290.3,BALTIC PRINCESS,FITKU-FILAN-SESTO,60
5557252,2025-03-26 15:11:53.446666,230110310,60.43513,22.205642,0.0,303.0,98.9,LINDA,TURKU,52
5557251,2025-03-26 15:11:53.431001,230939370,60.467195,21.69395,0.0,56.0,47.9,KAITA,TEERSALO,60
5557250,2025-03-26 15:11:53.385062,230703000,59.891183,19.784768,15.7,61.0,60.6,FINNSIRIUS,FINLI<>FILAN<>SEKPS,60
