id,timestamp,vessel_id,latitude,longitude,velocity,heading,cog,vessel_name,destination,type
5640544,2025-03-27 00:28:05.750149,276829000,60.147653,24.914582,1.1,209.0,7.0,MEGASTAR,EEVAN<->FIHEL,60
5640543,2025-03-27 00:28:05.702481,230081290,61.12648,21.444568,0.0,254.0,222.5,L152,RAUMA PILOT AREA,50
5640542,2025-03-27 00:28:05.585937,244874000,59.494398,20.042368,15.4,200.0,200.7,EMOTION,FI RAU > DE WVN,70
5640541,2025-03-27 00:28:05.565660,230985490,60.1609,24.972087,9.2,304.0,304.6,SUOMENLINNA II,SUOMENLINNA FERRY,60
5640540,2025-03-27 00:28:05.300759,230992670,60.318153,20.751608,0.0,298.0,280.1,ALFAGELN,HUMMELVIK/TORSHOLMA,60
5640539,2025-03-27 00:28:05.214378,230008800,61.594075,21.463775,0.0,172.0,326.8,PILOT L230,MANTYLUOTO PILOT CH9,50
5640538,2025-03-27 00:28:05.177315,230992670,60.318153,20.751603,0.0,298.0,280.1,ALFAGELN,HUMMELVIK/TORSHOLMA,60
5640537,2025-03-27 00:28:04.977837,230634000,60.185938,21.441015,5.7,127.0,124.6,STELLA,GALTBY-KITTUIS,60
5640536,2025-03-27 00:28:04.805424,237714600,59.76606,23.7086,43.6,72.0,66.0,PLS-622,VUOSAARI,51
5640535,2025-03-27 00:28:04.687853,230993760,60.316662,20.99632,0.0,298.0,32.3,KUHA,LAPPO,52
5640534,2025-03-27 00:28:04.351248,636024741,59.489307,22.991277,7.2,69.0,68.0,MINERVA VASO,RU ULU,80
5640533,2025-03-27 00:28:04.341884,230155950,60.442438,22.152443,0.0,190.0,147.0,KOKKOMAA,,60
5640532,2025-03-27 00:28:04.253653,276756000,59.49845,24.939253,0.1,511.0,88.4,AHTO-28,MUUGA,50
5640531,2025-03-27 00:28:04.242433,230014910,59.894698,23.354525,102.3,22.0,360.0,MT1310,,90
5640530,2025-03-27 00:28:03.962611,230125910,60.169648,24.96447,0.0,93.0,177.7,PILOT L-139,HELSINKI PILOT CH 71,50
5640529,2025-03-27 00:28:03.953753,230992250,60.117115,20.295047,0.1,69.0,21.1,MT2303,FAIRWAY WORKS,70
5640528,2025-03-27 00:28:03.913983,230711000,61.13314,21.441362,0.1,314.0,175.8,JUPITER,HARBOUR ASSISTANCE,52
5640527,2025-03-27 00:28:03.903355,230939360,60.398925,21.293505,9.9,24.0,22.6,YA KIVIMO,INIO LISAREITTI,60
5640526,2025-03-27 00:28:03.820086,305967000,59.04652,22.02271,9.3,232.0,233.1,KREETE,SZCECIN,70
5640525,2025-03-27 00:28:03.809275,230685000,59.497885,24.964892,8.7,25.0,24.8,FINBO CARGO,EEMUG<>FIVSS,60
5640524,2025-03-27 00:28:03.693053,230091080,60.105313,24.974163,0.0,19.0,9.9,PILOT L153,,50
